nct_id,group_id,period_index,period_title,flow_title,protocol_label,arm_type,started,completed,noncompleted,attrition,count_valid,reason_sum,reason_reconciles,qc_flags
NCT00775203,FG000,0,Overall Study,Trazodone Contramid OAD,,,206,144,62,0.30097087378640774,True,62,True,
NCT00775203,FG001,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,206,163,43,0.20873786407766992,True,43,True,
NCT00789854,FG000,0,Overall Study,Quetiapine XR Mono,,,228,179,49,0.2149122807017544,True,49,True,
NCT00789854,FG001,0,Overall Study,Add-on Quetiapine XR,,,231,196,35,0.1515151515151515,True,35,True,
NCT00789854,FG002,0,Overall Study,Add-on Lithium,,,229,182,47,0.20524017467248912,True,47,True,
NCT00798707,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,235,209,26,0.11063829787234047,True,26,True,
NCT00798707,FG001,0,Overall Study,DVS SR 25 mg,,,237,204,33,0.1392405063291139,True,33,True,
NCT00798707,FG002,0,Overall Study,DVS SR 50 mg,,,237,215,22,0.09282700421940926,True,22,True,
NCT00807248,FG000,0,Overall Study,"Placebo (Orally, Once Daily)",,,71,50,21,0.295774647887324,True,21,True,
NCT00807248,FG001,0,Overall Study,"Escitalopram 20 mg and Placebo (Orally, Once Daily)",,,140,128,12,0.08571428571428574,True,12,True,
NCT00807248,FG002,0,Overall Study,"Escitalopram 20 mg and Gaboxadol 5 mg (Orally, Once Daily)",,,139,121,18,0.1294964028776978,True,18,True,
NCT00807248,FG003,0,Overall Study,"Escitalopram 20 mg and Gaboxadol 10 mg (Orally, Once Daily)",,,140,126,14,0.09999999999999998,True,14,True,
NCT00811252,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,145,128,17,0.11724137931034484,True,17,True,
NCT00811252,FG001,0,Overall Study,Vortioxetine 5 mg,Vortioxetine 5 mg,EXPERIMENTAL,156,136,20,0.1282051282051282,True,20,True,
NCT00811252,FG002,0,Overall Study,Duloxetine 60 mg,Duloxetine 60 mg,OTHER,151,128,23,0.152317880794702,True,23,True,
NCT00824291,FG000,0,Overall Study,DVS SR 50 mg,,,285,231,54,0.18947368421052635,True,54,True,
NCT00824291,FG001,0,Overall Study,Placebo,,,142,107,35,0.24647887323943662,True,35,True,
NCT00839423,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,105,87,18,0.17142857142857137,True,18,True,
NCT00839423,FG001,0,Overall Study,Vortioxetine 5 mg,,,108,98,10,0.09259259259259256,True,10,True,
NCT00839423,FG002,0,Overall Study,Vortioxetine 10 mg,,,100,82,18,0.18000000000000005,True,18,True,
NCT00839423,FG003,0,Overall Study,Venlafaxine 225 mg,,,113,93,20,0.17699115044247793,True,20,True,
NCT00854100,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,81,72,9,0.11111111111111116,True,9,True,
NCT00854100,FG001,0,Overall Study,Cariprazine 0.1 - 0.3 mg,Cariprazine 0.1 - 0.3 mg,EXPERIMENTAL,76,70,6,0.07894736842105265,True,6,True,
NCT00854100,FG002,0,Overall Study,Cariprazine 1.0 - 2.0 mg,Cariprazine 1.0 - 2.0 mg,EXPERIMENTAL,74,63,11,0.14864864864864868,True,11,True,
NCT00863798,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,227,195,32,0.1409691629955947,True,32,True,
NCT00863798,FG001,0,Overall Study,DVS SR 10 mg,,,228,198,30,0.13157894736842102,True,30,True,
NCT00863798,FG002,0,Overall Study,DVS SR 50 mg,,,227,202,25,0.11013215859030834,True,25,True,
NCT00876343,FG000,0,Overall Study,Variable Dose Group of Aripiprazole,,,194,177,17,0.08762886597938147,True,17,True,
NCT00876343,FG001,0,Overall Study,Fixed Dose Group of Aripiprazole,,,197,180,17,0.08629441624365486,True,17,True,
NCT00876343,FG002,0,Overall Study,Placebo Group,,,195,183,12,0.06153846153846154,True,12,True,
NCT00905424,FG000,0,Overall Study,Antidepressant + SPD489,,,89,78,11,0.1235955056179775,True,11,True,
NCT00905424,FG001,0,Overall Study,Antidepressant + Placebo .,,,88,79,9,0.10227272727272729,True,9,True,
NCT00962598,FG000,0,Overall Study,Corn Oil,Corn Oil,PLACEBO_COMPARATOR,7,7,0,0.0,True,,,
NCT00962598,FG001,0,Overall Study,Omega-3 Fatty Acids,Omega-3 Fatty Acids,EXPERIMENTAL,9,9,0,0.0,True,,,
NCT00969150,FG000,0,Overall Study,Placebo,,,182,149,33,0.18131868131868134,True,33,True,
NCT00969150,FG001,0,Overall Study,Levomilnacipran ER,,,175,135,40,0.22857142857142854,True,40,True,
NCT00969709,FG000,0,Overall Study,Placebo,,,176,138,38,0.21590909090909094,True,38,True,
NCT00969709,FG001,0,Overall Study,Levomilnacipran ER 40 mg,,,178,130,48,0.2696629213483146,True,48,True,
NCT00969709,FG002,0,Overall Study,Levomilnacipran ER 80 mg,,,179,121,58,0.3240223463687151,True,58,True,
NCT00969709,FG003,0,Overall Study,Levomilnacipran ER 120 mg,,,180,117,63,0.35,True,63,True,
NCT00976560,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,64,50,14,0.21875,True,14,True,
NCT00976560,FG001,0,Overall Study,GW856553 7.5 mg BID,,,64,51,13,0.203125,True,13,True,
NCT00985725,FG000,0,Overall Study,Lisdexamfetamine Dimesylate (LDX),,,71,60,11,0.15492957746478875,True,11,True,
NCT00985725,FG001,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,72,59,13,0.18055555555555558,True,13,True,
NCT01020799,FG000,0,Overall Study,AZD7268,AZD7268,EXPERIMENTAL,98,79,19,0.19387755102040816,True,19,True,
NCT01020799,FG001,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,99,85,14,0.14141414141414144,True,14,True,
NCT01020799,FG002,0,Overall Study,Escitalopram,Escitalopram,ACTIVE_COMPARATOR,50,43,7,0.14,True,7,True,
NCT01034462,FG000,0,Overall Study,Placebo,,,217,172,45,0.2073732718894009,True,45,True,
NCT01034462,FG001,0,Overall Study,Levomilnacipran ER,,,217,163,54,0.24884792626728114,True,54,True,
NCT01138007,FG000,0,Overall Study,Placebo,,,187,165,22,0.11764705882352944,True,22,True,
NCT01138007,FG001,0,Overall Study,323U66 SR 150 mg,,,190,160,30,0.1578947368421053,True,30,True,
NCT01138007,FG002,0,Overall Study,323U66 SR 300 mg,,,192,144,48,0.25,True,48,True,
NCT01140906,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,158,133,25,0.15822784810126578,True,25,True,
NCT01140906,FG001,0,Overall Study,Vortioxetine 15 mg,,,151,117,34,0.22516556291390732,True,34,True,
NCT01140906,FG002,0,Overall Study,Vortioxetine 20 mg,,,151,125,26,0.17218543046357615,True,26,True,
NCT01140906,FG003,0,Overall Study,Duloxetine 60 mg,,,147,131,16,0.108843537414966,True,16,True,
NCT01152554,FG000,0,Overall Study,TC-5214,,,610,276,334,0.5475409836065575,True,334,True,
NCT01152554,FG001,0,Overall Study,Placebo,,,203,92,111,0.5467980295566502,True,111,True,
NCT01153009,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,161,129,32,0.19875776397515532,True,32,True,
NCT01153009,FG001,0,Overall Study,Vortioxetine 15 mg,Vortioxetine 15 mg,EXPERIMENTAL,147,113,34,0.23129251700680276,True,34,True,
NCT01153009,FG002,0,Overall Study,Vortioxetine 20 mg,Vortioxetine 20 mg,EXPERIMENTAL,154,113,41,0.26623376623376627,True,41,True,
NCT01153009,FG003,0,Overall Study,Duloxetine 60 mg,Duloxetine 60 mg,ACTIVE_COMPARATOR,152,115,37,0.24342105263157898,True,37,True,
NCT01153347,FG000,0,Overall Study,0.5 mg BID TC-5214,,,160,127,33,0.20625000000000004,True,33,True,
NCT01153347,FG001,0,Overall Study,2 mg BID TC-5214,,,160,116,44,0.275,True,44,True,
NCT01153347,FG002,0,Overall Study,4 mg BID TC-5214,,,160,110,50,0.3125,True,50,True,
NCT01153347,FG003,0,Overall Study,Placebo,,,161,129,32,0.19875776397515532,True,32,True,
NCT01157078,FG000,0,Overall Study,TC-5214,TC-5214,EXPERIMENTAL,159,124,35,0.22012578616352196,True,35,True,
NCT01157078,FG001,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,160,124,36,0.22499999999999998,True,36,True,
NCT01163266,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,157,139,18,0.1146496815286624,True,18,True,
NCT01163266,FG001,0,Overall Study,Vortioxetine 10 mg,Vortioxetine 10 mg,EXPERIMENTAL,155,124,31,0.19999999999999996,True,31,True,
NCT01163266,FG002,0,Overall Study,Vortioxetine 20 mg,Vortioxetine 20 mg,EXPERIMENTAL,150,122,28,0.18666666666666665,True,28,True,
NCT01179516,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,160,133,27,0.16874999999999996,True,27,True,
NCT01179516,FG001,0,Overall Study,Vortioxetine 10 mg,Vortioxetine 10 mg,EXPERIMENTAL,157,131,26,0.16560509554140124,True,26,True,
NCT01179516,FG002,0,Overall Study,Vortioxetine 15 mg,Vortioxetine 15 mg,EXPERIMENTAL,152,121,31,0.20394736842105265,True,31,True,
NCT01180400,FG000,0,Overall Study,TC-5214,TC-5214,EXPERIMENTAL,147,122,25,0.17006802721088432,True,25,True,
NCT01180400,FG001,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,148,121,27,0.18243243243243246,True,27,True,
NCT01189812,FG000,0,Overall Study,Placebo (Sugar Pill),,,40,32,8,0.19999999999999996,True,8,True,
