nct_id,title,conditions,eligible,exclusion_flags,period_count
NCT00797966,Study of the Safety and Efficacy of OPC-34712 as Adjunctive Therapy in the Treatment of Patients With Major Depressive Disorder,Major Depressive Disorder,True,,3
NCT00798707,Study Evaluating Desvenlafaxine Succinate Sustained Release (DVS SR) in the Treatment of Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00807248,Short-term Study of Combination Treatment of Escitalopram and Gaboxadol in Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00811252,Randomised Placebo-controlled Duloxetine-referenced Study of Efficacy and Safety of 5 mg of Vortioxetine (Lu AA21004) in Acute Treatment of Major Depressive Disorder in Elderly Patients,Major Depressive Disorder,True,,1
NCT00824291,Study Evaluating Desvenlafaxine Succinate Sustained Release In Outpatients With Major Depressive Disorder,"Depressive Disorder, Major",True,,1
NCT00831415,Study Evaluating Long-Term Safety of Desvenlafaxine Succinate Sustained Release With Japanese Adult Subjects in Major Depressive Disorder (MDD),Major Depressive Disorder,False,randomized;parallel,1
NCT00839423,Randomised Placebo-controlled Venlafaxine-referenced Study of Efficacy and Safety of 5 and 10 mg of Vortioxetine (Lu AA21004) in Acute Treatment of Major Depressive Disorder in Adults,Major Depressive Disorder,True,,1
NCT00840034,A Study of Adjunctive Treatment to Antidepressant Therapy for Adults With Major Depressive Disorder,"Depressive Disorder, Major",True,,2
NCT00849693,A Study in the Treatment of Children and Adolescents With Major Depressive Disorder,Major Depressive Disorder,True,,2
NCT00849901,A Study in the Treatment of Children and Adolescents With Major Depressive Disorder,Major Depressive Disorder,True,,2
NCT00851006,Creatine Treatment for Female Adolescents With Depression Who Are Non-Responders to Fluoxetine or Escitalopram,Major Depressive Disorder,False,randomized;parallel,1
NCT00852592,Light Therapy for Bipolar Disorder. Efficacy of Light Therapy for Bipolar Depression: A Randomized Controlled Trial,Bipolar Disorder | Major Depressive Episode,False,no_mixed_bipolar_schizophrenia,1
NCT00854100,Safety and Efficacy of Cariprazine As Adjunctive Therapy In Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00863798,Study Evaluating Desvenlafaxine Succinate Sustained Release In Adults With Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00866294,"Controlled-release Paroxetine in Major Depressive Disorder (Double-blind, Placebo-controlled Study)",Depressive Disorder,False,explicit_major_depression,1
NCT00876343,Study of Aripiprazole as an Adjunctive Therapy in Patients With Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00882362,Long-Term Administration Study of Aripiprazole as an Adjunctive Therapy in Patients With Major Depressive Disorder,Major Depressive Disorder,False,randomized;parallel,1
NCT00887224,Relapse Prevention Study Of Desvenlafaxine Succinate Sustained Release In Outpatients With Major Depressive Disorder,Major Depressive Disorder,True,,7
NCT00896363,Safety and Efficacy Study in Patients With Major Depressive Disorder,Depressive Disorder,False,explicit_major_depression,1
NCT00905424,Exploratory Study of SPD489 in Adults With Major Depressive Disorder (MDD) as Augmentation Therapy to an Antidepressant,Major Depressive Disorder,True,,1
NCT00962598,The Role Of Omega-3 Fatty Acids In Adolescent Depression,"Depressive Disorder, Major",True,,1
NCT00965497,Escitalopram (Lexapro) for Depression MS or ALS,Major Depression | Multiple Sclerosis | Amyotrophic Lateral Sclerosis,False,randomized;parallel,1
NCT00969150,Safety and Efficacy of Levomilnacipran ER (F2695 SR) in Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00969709,Safety and Efficacy of Levomilnacipran ER (F2695 SR) in Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00976560,Clinical Study to Test a New Drug to Treat Major Depression,"Depressive Disorder, Major",True,,1
NCT00985725,SPD489 in Adults With Persistent Executive Function Impairments (EFI) and Partial or Full Remission of Recurrent Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00986479,This is a Study to Determine the Antidepressant Effects of AZD6765,Treatment Resistant Major Depressive Disorder,False,parallel,2
NCT01020799,AZD7268 Safety and Tolerability Study,Major Depressive Disorder,True,,1
NCT01034462,Safety and Efficacy of Levomilnacipran ER (F2695 SR) in Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT01052077,Study of the Safety and Efficacy of OPC-34712 as Adjunctive Therapy in the Treatment of Adults With Major Depressive Disorder,Major Depressive Disorder,True,,3
NCT01071538,Buprenorphine for Late-Life Treatment Resistant Depression,Depression,False,randomized;parallel;explicit_major_depression,1
NCT01072630,Study to Evaluate the Efficacy and Safety of Armodafinil Treatment as Adjunctive Therapy in Adults With Major Depression Associated With Bipolar I Disorder,Depression,False,explicit_major_depression,1
NCT01072929,A Study to Evaluate the Efficacy and Safety of Armodafinil Treatment as Adjunctive Therapy in Adults With Major Depression Associated With Bipolar I Disorder,Depression,False,explicit_major_depression,1
NCT01085812,Relapse-Prevention Study With Levomilnacipran ER (F2695 SR) in Patients With Major Depressive Disorder,Depression | Major Depressive Disorder,True,,3
NCT01098318,Rhodiola Rosea Therapy of Major Depressive Disorder,Depression,False,explicit_major_depression,1
NCT01103271,Pilot Study of Open-label Placebo to Treat Major Depressive Disorder,Major Depressive Disorder,False,parallel,1
NCT01138007,A Fixed Dose Study of 323U66 SR in the Treatment of Major Depressive Disorder (MDD),"Depressive Disorder, Major",True,,1
NCT01140906,Randomised Placebo-controlled Duloxetine-referenced Study of Efficacy and Safety of 15 and 20 mg of Vortioxetine (Lu AA21004) in Acute Treatment of Major Depressive Disorder in Adults,Major Depressive Disorder,True,,1
NCT01152554,A Study to Assess the Long- Term Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder,Major Depressive Disorder | MDD | Depression,True,,1
NCT01152996,Safety and Tolerability of Vortioxetine (LuAA21004) - Open Label Extension Study,"Depressive Disorder, Major",False,randomized;parallel,1
NCT01153009,Safety and Efficacy of Vortioxetine (Lu AA21004) in Adults With Major Depressive Disorder,"Depressive Disorder, Major",True,,1
NCT01153347,A Study to Assess the Efficacy and Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder,Major Depressive Disorder | Depression,True,,1
NCT01155661,A Safety Study in Participants With Major Depressive Disorder,"Depressive Disorder, Major",False,randomized;parallel,1
NCT01157078,A Study to Assess the Efficacy and Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder (MDD),Major Depressive Disorder | Depression,True,,1
NCT01163266,Efficacy and Safety Study of Vortioxetine (Lu AA21004) in Adults With Major Depressive Disorder,"Depressive Disorder, Major",True,,1
NCT01173601,A Fixed Dose Study of Adjunctive Treatment to Antidepressant Therapy for Adults With Major Depressive Disorder,Major Depressive Disorder,True,,2
NCT01179516,Safety and Efficacy Study of Vortioxetine (Lu AA21004) in Adults With Major Depressive Disorder,"Depressive Disorder, Major",True,,1
NCT01180400,A Study to Assess the Efficacy and Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder,Major Depressive Disorder | Depression,True,,1
NCT01185340,A Study in Participants With Major Depressive Disorder Who Are Partial Responders to Selective Serotonin Reuptake Inhibitor,Major Depressive Disorder,True,,2
NCT01187407,A Study of Flexible or Fixed Dose LY2216684 as Adjunctive Treatment for Participants With Major Depressive Disorder Who Have Had a Partial Response to Selective Serotonin Reuptake Inhibitor (SSRI) Treatment,Major Depressive Disorder (MDD),True,,2
NCT01189812,Safety and Efficacy Study of Citalopram and Lithium for the Treatment of Depressive Mood Disorder Symptoms,Major Depressive Disorder | Dysthymia | Depression Not Otherwise Specified | Borderline Personality Disorder,True,,1
NCT01197508,A Study to Assess the Efficacy and Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder.,Major Depressive Disorder,True,,1
NCT01204918,Efficacy and Tolerability of Riluzole in Treatment Resistant Depression,Depression,False,explicit_major_depression,1
NCT01254305,Safety and Efficacy of Levomilnacipran ER (F2695 SR) in Adults With Fatigue Associated With Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT01255787,Efficacy and Safety Study of Vortioxetine (Lu AA21004) for Treatment of Major Depressive Disorder,"Depressive Disorder, Major",True,,1
NCT01259427,Reducing Internalized Stigma in People With Serious Mental Illness,Schizophrenia | Schizoaffective Disorder | Bipolar Disorder | Major Depression With Psychotic Features,False,no_mixed_bipolar_schizophrenia,1
NCT01299272,A Study in Prevention of Re-emergence of Depression Symptoms,Major Depressive Disorder,True,,3
NCT01305408,Study to Evaluate the Efficacy and Safety of Armodafinil Treatment (150 mg/Day) as Adjunctive Therapy in Adults With Major Depression Associated With Bipolar I Disorder,Depression,False,explicit_major_depression,1
NCT01312922,Pipamperone/Citalopram (PNB01) Versus Citalopram (CIT) and Versus Pipamperone (PIP) in Major Depressive Disorder (MDD),Major Depressive Disorder,True,,1
NCT01323478,Open-label Safety Extension Study of 15 and 20 mg of Vortioxetine (Lu AA21004) in Long-term Treatment of Major Depressive Disorder in Adults,Major Depressive Disorder,False,randomized;parallel,1
NCT01355081,Efficacy Study of Vortioxetine (Lu AA21004) for Treatment of Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT01360632,Study of the Safety and Efficacy of Two Fixed Doses of OPC-34712 as Adjunctive Therapy in the Treatment of Adults With Major Depressive Disorder (the Polaris Trial),"Depressive Disorder | Depression | Depressive Disorder, Major | Mood Disorders | Mental Disorders",True,,3
NCT01360645,Study of the Safety and Efficacy of Fixed Dose OPC-34712 as Adjunctive Therapy in the Treatment of Adults With Major Depressive Disorder (the Pyxis Trial),"Depressive Disorder | Depression | Depressive Disorder, Major | Mood Disorders | Mental Disorders",True,,3
NCT01360866,Safety and Tolerability of Oral OPC-34712 as Adjunctive Therapy in Adults With Major Depressive Disorder (the Orion Trial),"Depressive Disorder | Depression | Depressive Disorder, Major | Mood Disorders | Mental Disorders",False,randomized;parallel,1
NCT01364649,Vortioxetine (Lu AA21004) 10 and 20 mg for Treatment of Major Depressive Disorder With Sexual Dysfunction,Treatment Outcome,False,explicit_major_depression,1
NCT01368432,Lexapro for the Treatment of Traumatic Brain Injury (TBI) Depression & Other Psychiatric Conditions,TBI | Major Depression | Other Psychiatric Disorders,True,,1
NCT01370499,A Study of LY2216684 in Participants With Major Depression Disorder,Major Depressive Disorder,False,randomized;parallel,1
NCT01370733,Synchronized Transcranial Magnetic Stimulation (sTMS) in Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT01371708,"A 6-Month Extension Study To The B2061032 Study To Evaluate The Safety, Tolerability, And Efficacy Of DVS SR In The Treatment Of Child And Adolescent Outpatients With MDD",Major Depressive Disorder,False,randomized;parallel,1
NCT01371721,"A 6-Month Open-Label Extension Study to the B2061014 Study to Evaluate the Safety, Tolerability and Efficacy of DVS SR in the Treatment of Children and Adolescents With MDD",Major Depressive Disorder,False,randomized;parallel,1
NCT01371734,A Study Of DVS SR In Treatment Of Children And Adolescent Outpatients With MDD,Major Depressive Disorder,True,,1
NCT01372150,A Study Of DVS SR In Treatment Of Children And Adolescent Outpatients With MDD,Major Depressive Disorder,True,,1
NCT01377194,Safety and Efficacy of Levomilnacipran ER (Levomilnacipran SR) in Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT01407094,Establishing Moderators and Biosignatures of Antidepressant Response for Clinical Care for Depression,Depression,False,parallel;explicit_major_depression,2
NCT01407575,Buprenorphine for Treatment Resistant Depression,"Depression | Depressive Disorder | Depressive Disorder, Major",True,,1
NCT01421134,Major Depressive Disorder (MDD) With Mixed Features - Flexible Dose,Major Depressive Disorder With Mixed Features,True,,1
NCT01421342,VA Augmentation and Switching Treatments for Improving Depression Outcomes,Major Depressive Disorder,True,,3
NCT01422213,Efficacy Study of Vortioxetine on Cognitive Dysfunction in Adult Patients With Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT01423253,Major Depressive Disorder With Mixed Features - Extension,Major Depressive Disorder,False,randomized;parallel,1
NCT01428661,Melatonin Agonist Effects of Tasimelteon Versus Placebo in Patients With Major Depressive Disorder,Major Depressive Disorder,True,,2
NCT01435759,SPD489 in Combination With an Antidepressant in the Treatment of Adults With Major Depressive Disorder,Major Depressive Disorder,True,,2
NCT01436149,Efficacy and Safety Study of SPD489 in Combination With an Antidepressant in the Treatment of Adults With Major Depressive Disorder,Major Depressive Disorder,True,,2
NCT01436162,Efficacy and Safety Study of SPD489 in Combination With an Antidepressant in the Treatment of Adults With Major Depressive Disorder,Major Depressive Disorder,True,,2
NCT01441440,Venlafaxine ER Phase 3 Study for Major Depressive Disorder (MDD),Major Depressive Disorder,True,,1
NCT01447576,Study of Safety & Tolerability of OPC-34712 as Adjunctive Therapy in Treatment of Adult Patients With Major Depressive Disorder,Major Depressive Disorder,False,randomized;parallel,1
NCT01469377,Safety and Efficacy of Cariprazine as an Adjunctive to Antidepressant Therapy in Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT01482221,A Study to Assess the Effect and Safety of AZD6765 in Patients With Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT01485887,Venlafaxine ER Long-Term Extension Study for Major Depressive Disorder (MDD),Major Depressive Disorder,False,randomized;parallel,1
NCT01488071,A Study of Vortioxetine (Lu AA21004) in Comparison to Agomelatine in Adults Suffering From Major Depression With Inadequate Response to Previous Medication,Major Depressive Disorder,True,,1
NCT01500200,A Study to Evaluate ALKS 5461 in Subjects With Major Depressive Disorder (MDD),Major Depressive Disorder,True,,2
NCT01558063,Ketamine in the Treatment of Depression,Major Depressive Disorder,True,,1
NCT01564862,Efficacy of Lu AA21004 on Cognitive Dysfunction in Major Depressive Disorder,"Depressive Disorder, Major",True,,1
NCT01571453,Study of Vortioxetine (Lu AA21004) in Major Depressive Disorder in Asian Countries,Major Depressive Disorder,True,,1
NCT01589315,Focal Electroconvulsive Therapy for Depression,Major Depressive Disorder,False,randomized;parallel,1
NCT01625845,Anti-INFLammatory to Address Mood and Endothelial Dysfunction (INFLAMED),Major Depressive Disorder | Depression | Depressive Symptoms | Cardiovascular Disease (CVD) | Coronary Artery Disease (CAD) | Heart Disease,True,,1
NCT01627782,A Study of Ketamine in Patients With Treatment-resistant Depression,Major Depressive Disorder,True,,1
NCT01635218,Homeopathic Treatment for Depression in Peri- and Postmenopausal Women,Moderate Depression | Menopausal and Postmenopausal Disorders,False,explicit_major_depression,1
NCT01715805,"Efficacy, Safety and Tolerability of Cariprazine as an Adjunctive Treatment to Antidepressant Therapy (ADT) in Patients With Major Depressive Disorder (MDD)",Major Depressive Disorder,True,,2
NCT01725282,Study to Evaluate the Effect and Safety of Quetiapine Extended Release (XR) (FK949E) in Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT01725308,A Study to Evaluate the Efficacy of FK949E in Bipolar Disorder Patients With Major Depressive Episodes,Bipolar Disorder,False,explicit_major_depression;no_mixed_bipolar_schizophrenia,2
NCT01727726,"A Study of Flexible-dose Brexpiprazole as Adjunctive Therapy in the Treatment of Adults With Major Depressive Disorder, the Delphinus Trial","Depressive Disorder | Depression | Depressive Disorder, Major | Mood Disorders | Mental Disorders",True,,1
NCT01731119,Study of Lurasidone in Treating Antipsychotic Naive or Quasi-Naive Children and Adolescents,"Schizophrenia | Schizoaffective Disorder | Schizophreniform Disorder | Psychosis NOS | Autistic Disorder | Asperger Syndrome | Child Development Disorders, Pervasive | Bipolar I Disorder | Bipolar II Disorder | Mood Disorder NOS | Severe Major Depression With Psychotic Features | Single Episode Major Depression Without Psychotic Symptoms | Severe Mood Disorder With Psychotic Features",False,randomized;parallel;no_mixed_bipolar_schizophrenia,1
NCT01737268,Long-term Study of FK949E in Elderly Bipolar Disorder Patients,Bipolar Disorder | Elderly,False,randomized;parallel;explicit_major_depression;no_mixed_bipolar_schizophrenia,1
NCT01742832,Double-Blind Treatment of Major Depressive Disorder With Vilazodone,Major Depressive Disorder,False,parallel,1
NCT01808612,A Study of Fluoxetine in Major Depressive Disorder (MDD) Short-Term Dosing,Major Depressive Disorder,True,,2
NCT01808651,A Study of Fluoxetine in Major Depressive Disorder (MDD) Long-Term Dosing,Major Depressive Disorder,False,randomized;parallel,2
NCT01838681,Brexpiprazole as Adjunctive Treatment in Patients With Major Depressive Disorder With an Inadequate Response to Antidepressant Treatment,Major Depressive Disorder,True,,2
NCT01838876,Long-term Safety and Tolerability of Cariprazine as an Adjunctive Treatment to Antidepressant Therapy in Patients With Major Depressive Disorder,Major Depressive Disorder,False,randomized;parallel,1
NCT01869374,Study Comparing Magnetic Seizure Therapy (MST) to Electroconvulsive Therapy (ECT) for Depression in Older Adults,Depression | Major Depressive Episode | Bipolar Disorder,False,no_mixed_bipolar_schizophrenia,1
NCT01874951,Low-Dose Naltrexone (LDN) for Depression Relapse and Recurrence,"Major Depressive Disorder | Depression, Unipolar | Recurrence | Relapse",True,,1
NCT01876823,Memantine Plus Es-citalopram in Elderly Depressed Patients With Cognitive Impairment,Mild Cognitive Impairment | Major Depressive Disorder | Alzheimer's Disease,False,randomized;parallel,1
NCT01878292,Safety and Efficacy of Vilazodone in Adolescent Patients With Major Depressive Disorder,Major Depressive Disorder,True,,3
